#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** LITHUANIAN **;;;;;;;;;;;;;;
emperor_lithuanian;Karalius;Karalius;Karalius;;Karalius;;;;;;;;;x
emperor_female_lithuanian;Karaliene;Karaliene;Karaliene;;Karaliene;;;;;;;;;x
emperor_title_ruler_consort_lithuanian;Karalius;Karalius;Karalius;;Karalius;;;;;;;;;x
emperor_title_ruler_consort_female_lithuanian;Karaliene Konsortas;Karaliene Konsortas;Karaliene Konsortas;;Karaliene Konsortas;;;;;;;;;x
emperor_title_queen_mother_female_lithuanian;Našlystes Karaliene;Našlystes Karaliene;Našlystes Karaliene;;Našlystes Karaliene;;;;;;;;;x
city_emperor_lithuanian;Didysis Kunigaikštis;Didysis Kunigaikštis;Didysis Kunigaikštis;;Didysis Kunigaikštis;;;;;;;;;x
empire_of_lithuanian;Karalyste;Karalyste;Karalyste;;Karalyste;;;;;;;;;x
#;;;;;;;;;;;;;;
king_lithuanian;Didysis Kunigaikstis;Didysis Kunigaikstis;Didysis Kunigaikstis;;Didysis Kunigaikstis;;;;;;;;;x
king_female_lithuanian;Didziosios Kunigaikstienes;Didziosios Kunigaikstienes;Didziosios Kunigaikstienes;;Didziosios Kunigaikstienes;;;;;;;;;x
title_regent_lithuanian;Regentas;Regentas;Regentas;;Regentas;;;;;;;;;x
title_ruler_consort_lithuanian;Kunigaikstis Konsortas;Kunigaikstis Konsortas;Kunigaikstis Konsortas;;Kunigaikstis Konsortas;;;;;;;;;x
title_ruler_consort_female_lithuanian;Kunigaikstienes Konsortas;Kunigaikstienes Konsortas;Kunigaikstienes Konsortas;;Kunigaikstienes Konsortas;;;;;;;;;x
title_queen_mother_lithuanian;Motina Kunigaikstienes;Motina Kunigaikstienes;Motina Kunigaikstienes;;Motina Kunigaikstienes;;;;;;;;;x
title_prince_lithuanian;Princas;Princas;Princas;;Princas;;;;;;;;;x
title_prince_female_lithuanian;Princese;Princese;Princese;;Princese;;;;;;;;;x
city_king_lithuanian;Prezidentas;Prezidentas;Prezidentas;;Prezidentas;;;;;;;;;x
kingdom_of_lithuanian;Didžioji Hercogyste;Didžioji Hercogyste;Didžioji Hercogyste;;Didžioji Hercogyste;;;;;;;;;x
#;;;;;;;;;;;;;;
duke_lithuanian;Kunigaikštis;Kunigaikštis;Kunigaikštis;;Kunigaikštis;;;;;;;;;x
duke_female_lithuanian;Kunigaikštiene;Kunigaikštiene;Kunigaikštiene;;Kunigaikštiene;;;;;;;;;x
duke_title_ruler_consort_lithuanian;Kunigaikštis;Kunigaikštis;Kunigaikštis;;Kunigaikštis;;;;;;;;;x
duke_title_ruler_consort_female_lithuanian;Kunigaikštiene;Kunigaikštiene;Kunigaikštiene;;Kunigaikštiene;;;;;;;;;x
city_duke_lithuanian;Doge;Doge;Doge;;Doge;;;;;;;;;x
duchy_of_lithuanian;Hercogyste;Hercogyste;Hercogyste;;Hercogyste;;;;;;;;;x
#;;;;;;;;;;;;;;
count_lithuanian;Skaiciuoti;Skaiciuoti;Skaiciuoti;;Skaiciuoti;;;;;;;;;x
count_female_lithuanian;Grafiene;Grafiene;Grafiene;;Grafiene;;;;;;;;;x
county_of_lithuanian;Apskritis;Apskritis;Apskritis;;Apskritis;;;;;;;;;x
count_title_ruler_consort_lithuanian;Skaiciuoti;Skaiciuoti;Skaiciuoti;;Skaiciuoti;;;;;;;;;x
count_title_ruler_consort_female_lithuanian;Grafiene;Grafiene;Grafiene;;Grafiene;;;;;;;;;x
city_count_lithuanian;Gubernatorius;Gubernatorius;Gubernatorius;;Gubernatorius;;;;;;;;;x
#;;;;;;;;;;;;;;
baron_lithuanian;Baronas;Baronas;Baronas;;Baronas;;;;;;;;;x
baron_female_lithuanian;Baroniene;Baroniene;Baroniene;;Baroniene;;;;;;;;;x
baron_title_ruler_consort_lithuanian;Baronas;Baronas;Baronas;;Baronas;;;;;;;;;x
baron_title_ruler_consort_female_lithuanian;Baroniene;Baroniene;Baroniene;;Baroniene;;;;;;;;;x
barony_of_lithuanian;Barona Turtas;Barona Turtas;Barona Turtas;;Barona Turtas;;;;;;;;;x
city_baron_lithuanian;Meras;Meras;Meras;;Meras;;;;;;;;;x
#;;;;;;;;;;;;;;
emperor_king_christian_lithuanian;Imperatorius-Vyskupas;Imperatorius-Vyskupas;Imperatorius-Vyskupas;;Imperatorius-Vyskupas;;;;;;;;;x
temple_king_catholic_lithuanian;Karalius-Vyskupas;Karalius-Vyskupas;Karalius-Vyskupas;;Karalius-Vyskupas;;;;;;;;;x
temple_king_orthodox_lithuanian;Karalius-Vyskupas;Karalius-Vyskupas;Karalius-Vyskupas;;Karalius-Vyskupas;;;;;;;;;x
temple_duke_catholic_lithuanian;Princas-arkivyskupas;Princas-arkivyskupas;Princas-arkivyskupas;;Princas-arkivyskupas;;;;;;;;;x
temple_duke_orthodox_lithuanian;Princas-arkivyskupas;Princas-arkivyskupas;Princas-arkivyskupas;;Princas-arkivyskupas;;;;;;;;;x
temple_count_catholic_lithuanian;Princas-vyskupas;Princas-vyskupas;Princas-vyskupas;;Princas-vyskupas;;;;;;;;;x
temple_count_orthodox_lithuanian;Sostines;Sostines;Sostines;;Sostines;;;;;;;;;x
temple_baron_christian_lithuanian;Vyskupas;Vyskupas;Vyskupas;;Vyskupas;;;;;;;;;x
#;;;;;;;;;;;;;;
city_empire_of_lithuanian;Kunigaikštystes;Kunigaikštystes;Kunigaikštystes;;Kunigaikštystes;;;;;;;;;x
city_kingdom_of_lithuanian;Federacine Respublika;Federacine Respublika;Federacine Respublika;;Federacine Respublika;;;;;;;;;x
city_duchy_of_lithuanian;Respublika;Respublika;Respublika;;Respublika;;;;;;;;;x
city_county_of_lithuanian;Laisve Miestas;Laisve Miestas;Laisve Miestas;;Laisve Miestas;;;;;;;;;x
city_barony_of_lithuanian;Miestas;Miestas;Miestas;;Miestas;;;;;;;;;x
#;;;;;;;;;;;;;;
job_chancellor_lithuanian;Kancleris;Kancleris;Kancleris;;Kancleris;;;;;;;;;x
job_marshal_lithuanian;Maršalas;Maršalas;Maršalas;;Maršalas;;;;;;;;;x
job_spymaster_lithuanian;Šnipas Meistras;Šnipas Meistras;Šnipas Meistras;;Šnipas Meistras;;;;;;;;;x
job_treasurer_lithuanian;Ukvedžiu;Ukvedžiu;Ukvedžiu;;Ukvedžiu;;;;;;;;;x
job_spiritual_lithuanian;Teismas Kapelionas;Teismas Kapelionas;Teismas Kapelionas;;Teismas Kapelionas;;;;;;;;;x
job_viceroy_lithuanian;Pavaduotojas-Karalius;Pavaduotojas-Karalius;Pavaduotojas-Karalius;;Pavaduotojas-Karalius;;;;;;;;;x
#;;;;;;;;;;;;;;x
