#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** MONGOL **;;;;;;;;;;;;;;
emperor_mongol;Khagan;Khagan;Khagan;;Khagan;;;;;;;;;x
emperor_female_mongol;Taihu;Taihu;Taihu;;Taihu;;;;;;;;;x
emperor_title_ruler_consort_mongol;Khagan;Khagan;Khagan;;Khagan;;;;;;;;;x
emperor_title_ruler_consort_female_mongol;Taihu;Taihu;Taihu;;Taihu;;;;;;;;;x
emperor_title_queen_mother_female_mongol;Taihu;Taihu;Taihu;;Taihu;;;;;;;;;x
city_emperor_mongol;Sain Humun;Sain Humun;Sain Humun;;Sain Humun;;;;;;;;;x
empire_of_mongol;Yeke Ulus of;Yeke Ulus of;Yeke Ulus of;;Yeke Ulus of;;;;;;;;;x
#;;;;;;;;;;;;;;
king_mongol;Khan;Khan;Khan;;Khan;;;;;;;;;x
king_female_mongol;Taihu;Taihu;Taihu;;Taihu;;;;;;;;;x
title_regent_mongol;Regent;Regent;Regent;;Regent;;;;;;;;;x
title_ruler_consort_mongol;Khan;Khan;Khan;;Khan;;;;;;;;;x
title_ruler_consort_female_mongol;Taihu;Taihu;Taihu;;Taihu;;;;;;;;;x
title_queen_mother_mongol;Taihu;Taihu;Taihu;;Taihu;;;;;;;;;x
title_prince_mongol;Taiji;Taiji;Taiji;;Taiji;;;;;;;;;x
title_prince_female_mongol;Gongzhu;Gongzhu;Gongzhu;;Gongzhu;;;;;;;;;x
city_king_mongol;Sain Humun;Sain Humun;Sain Humun;;Sain Humun;;;;;;;;;x
kingdom_of_mongol;Ulus of;Ulus of;Ulus of;;Ulus of;;;;;;;;;x
#;;;;;;;;;;;;;;
duke_mongol;Jinong;Jinong;Jinong;;Jinong;;;;;;;;;x
duke_female_mongol;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
duke_title_ruler_consort_mongol;Jinong;Jinong;Jinong;;Jinong;;;;;;;;;x
duke_title_ruler_consort_female_mongol;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
city_duke_mongol;Sain Humun;Sain Humun;Sain Humun;;Sain Humun;;;;;;;;;x
duchy_of_mongol;Ordo of;Ordo of;Ordo of;;Ordo of;;;;;;;;;x
#;;;;;;;;;;;;;;
count_mongol;Yeke Noyon;Yeke Noyon;Yeke Noyon;;Yeke Noyon;;;;;;;;;x
count_female_mongol;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
county_of_mongol;Tumen of;Tumen of;Tumen of;;Tumen of;;;;;;;;;x
count_title_ruler_consort_mongol;Yeke Noyon;Yeke Noyon;Yeke Noyon;;Yeke Noyon;;;;;;;;;x
count_title_ruler_consort_female_mongol;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
city_count_mongol;Sain Humun;Sain Humun;Sain Humun;;Sain Humun;;;;;;;;;x
#;;;;;;;;;;;;;;
baron_mongol;Noyon;Noyon;Noyon;;Noyon;;;;;;;;;x
baron_female_mongol;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
baron_title_ruler_consort_mongol;Noyon;Noyon;Noyon;;Noyon;;;;;;;;;x
baron_title_ruler_consort_female_mongol;Khatun;Khatun;Khatun;;Khatun;;;;;;;;;x
barony_of_mongol;Otog of;Otog of;Otog of;;Otog of;;;;;;;;;x
city_baron_mongol;Dund Humun;Dund Humun;Dund Humun;;Dund Humun;;;;;;;;;x
#;;;;;;;;;;;;;;
emperor_king_christian_mongol;Emperor-Bishop;Emperor-Bishop;Emperor-Bishop;;Emperor-Bishop;;;;;;;;;x
temple_king_catholic_mongol;King-Bishop;King-Bishop;King-Bishop;;King-Bishop;;;;;;;;;x
temple_king_orthodox_mongol;King-Bishop;King-Bishop;King-Bishop;;King-Bishop;;;;;;;;;x
temple_duke_catholic_mongol;Prince-Archbishop;Prince-Archbishop;Prince-Archbishop;;Prince-Archbishop;;;;;;;;;x
temple_duke_orthodox_mongol;Prince-Archbishop;Prince-Archbishop;Prince-Archbishop;;Prince-Archbishop;;;;;;;;;x
temple_count_catholic_mongol;Prince-Bishop;Prince-Bishop;Prince-Bishop;;Prince-Bishop;;;;;;;;;x
temple_count_orthodox_mongol;Metropolitan;Metropolitan;Metropolitan;;Metropolitan;;;;;;;;;x
temple_baron_christian_mongol;Bishop;Bishop;Bishop;;Bishop;;;;;;;;;x
#;;;;;;;;;;;;;;
city_empire_of_mongol;Principality of;Principality of;Principality of;;Principality of;;;;;;;;;x
city_kingdom_of_mongol;Serene Republic of  ;Serene Republic of  ;Serene Republic of  ;;Serene Republic of  ;;;;;;;;;x
city_duchy_of_mongol;Republic of;Republic of;Republic of;;Republic of;;;;;;;;;x
city_county_of_mongol;Grand City of;Grand City of;Grand City of;;Grand City of;;;;;;;;;x
city_barony_of_mongol;City of;City of;City of;;City of;;;;;;;;;x
#;;;;;;;;;;;;;;
job_chancellor_mongol;Chancellor;Chancellor;Chancellor;;Chancellor;;;;;;;;;x
job_marshal_mongol;Tumetu-iin Noyan;Tumetu-iin Noyan;Tumetu-iin Noyan;;Tumetu-iin Noyan;;;;;;;;;x
job_spymaster_mongol;Spymaster;Spymaster;Spymaster;;Spymaster;;;;;;;;;x
job_treasurer_mongol;Hamjilga;Hamjilga;Hamjilga;;Hamjilga;;;;;;;;;x
job_spiritual_mongol;Shabi;Shabi;Shabi;;Shabi;;;;;;;;;x
job_viceroy_mongol;Viceroy;Viceroy;Viceroy;;Viceroy;;;;;;;;;x
#;;;;;;;;;;;;;;x
title_court_jester_mongol;Court Jester;Court Jester;Court Jester;;Court Jester;;;;;;;;;x
title_keeper_of_swans_mongol;Keeper of the Swans;Keeper of the Swans;Keeper of the Swans;;Keeper of the Swans;;;;;;;;;x
title_master_of_the_horse_mongol;Master of the Horse;Master of the Horse;Master of the Horse;;Master of the Horse;;;;;;;;;x
title_master_of_the_hunt_mongol;Master of the Hunt;Master of the Hunt;Master of the Hunt;;Master of the Hunt;;;;;;;;;x
