#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** NORWEGIAN **;;;;;;;;;;;;;;
emperor_norwegian;Keiser;Keiser;Keiser;;Keiser;;;;;;;;;x
emperor_female_norwegian;Keiserinne;Keiserinne;Keiserinne;;Keiserinne;;;;;;;;;x
emperor_title_ruler_consort_norwegian;Keiser;Keiser;Keiser;;Keiser;;;;;;;;;x
emperor_title_ruler_consort_female_norwegian;Keiserinne;Keiserinne;Keiserinne;;Keiserinne;;;;;;;;;x
emperor_title_queen_mother_female_norwegian;Keiserinne;Keiserinne;Keiserinne;;Keiserinne;;;;;;;;;x
empire_of_norwegian;Imperium av;Imperium av;Imperium av;;Imperium av;;;;;;;;;x
city_emperor_norwegian;Topp-Prins;Tipp-Prins;Tipp-Prins;;Tipp-Prins;;;;;;;;;x
#;;;;;;;;;;;;;;
king_norwegian;Kong;Kong;Kong;;Kong;;;;;;;;;x
king_female_norwegian;Dronning;Dronning;Dronning;;Dronning;;;;;;;;;x
title_regent_norwegian;Regent;Regent;Regent;;Regent;;;;;;;;;x
title_ruler_consort_norwegian;Kong;Kong;Kong;;Kong;;;;;;;;;x
title_ruler_consort_female_norwegian;Dronning;Dronning;Dronning;;Dronning;;;;;;;;;x
title_queen_mother_norwegian;Dronning Mor;Dronning;Dronning;;Dronning;;;;;;;;;x
title_prince_norwegian;Prins;Prins;Prins;;Prins;;;;;;;;;x
title_prince_female_norwegian;Prinsesse;Prinsesse;Prinsesse;;Prinsesse;;;;;;;;;x
kingdom_of_norwegian;Kongeriket;Kongeriket;Kongeriket;;Kongeriket;;;;;;;;;x
#;;;;;;;;;;;;;;
jarl_title_ruler_consort_norwegian;Jarl Consort;Jarl Consort;Jarl Consort;;Jarl Consort;;;;;;;;;x
jarl_title_ruler_consort_female_norwegian;Jarl Consort;Jarl Consort;Jarl Consort;;Jarl Consort;;;;;;;;;x
duchies_norwegian;Fylkis;Fylkis;Fylkis;;Fylkis;;;;;;;;;x
duchy_of_norwegian;Fylki of;Fylki of;Fylki of;;Fylki of;;;;;;;;;x
duke_norwegian;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x
duke_female_norwegian;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x
city_duke_norwegian;Lendmann;Lendmann;Lendmann;;Lendmann;;;;;;;;;x
#;;;;;;;;;;;;;;
count_female_norwegian;Lendmann;Lendmann;Lendmann;;Lendmann;;;;;;;;;x
count_norwegian;Lendmann;Lendmann;Lendmann;;Lendmann;;;;;;;;;x
count_title_ruler_consort_norwegian;Lendmann Consort;Lendmann Consort;Lendmann Consort;;Lendmann Consort;;;;;;;;;x
count_title_ruler_consort_female_norwegian;Lendmann Consort;Lendmann Consort;Lendmann Consort;;Lendmann Consort;;;;;;;;;x
county_of_norwegian;Lende of;Lende of;Lende of;;Lende of;;;;;;;;;x
city_count_norwegian;Sysselmann;Sysselmann;Sysselmann;;Sysselmann;;;;;;;;;x
#;;;;;;;;;;;;;;
barony_of_norwegian;Syssel of;Syssel of;Syssel of;;Syssel of;;;;;;;;;x
baron_female_norwegian;Herse;Herse;Herse;;Herse;;;;;;;;;x
baron_title_ruler_consort_norwegian;Herse Consort;Herse Consort;Herse Consort;;Herse Consort;;;;;;;;;x
baron_title_ruler_consort_female_norwegian;Herse Consort;Herse Consort;Herse Consort;;Herse Consort;;;;;;;;;x
baron_norwegian;Herse;Herse;Herse;;Herse;;;;;;;;;x
city_baron_norwegian;Chieftain;Chieftain;Chieftain;;Chieftain;;;;;;;;;x
#;;;;;;;;;;;;;;
city_empire_of_norwegian;Fyrstedømmet;Fyrstedømmet;Fyrstedømmet;;Fyrstedømmet;;;;;;;;;x
city_kingdom_of_norwegian;Landsting;Republikken;Republikken;;Republikken;;;;;;;;;x
city_duchy_of_norwegian;Landsting;Republikken;Republikken;;Republikken;;;;;;;;;x
city_barony_of_norwegian;Byen;Byen;Byen;;Byen;;;;;;;;;x
city_county_of_norwegian;Gand Byen;Gand Byen;Gand Byen;;Gand Byen;;;;;;;;;x
#;;;;;;;;;;;;;;
job_chancellor_norwegian;Stallar;Stallar;Stallar;;Stallar;;;;;;;;;x
job_marshal_norwegian;Merkemann;Merkemann;Merkemann;;Merkemann;;;;;;;;;x
job_spymaster_norwegian;Gjest;Gjest;Gjest;;Gjest;;;;;;;;;x
job_treasurer_norwegian;Fehird;Fehird;Fehird;;Fehird;;;;;;;;;x
job_spiritual_norwegian;Kongelig Kapellan;Kongelig Kapellan;Kongelig Kapellan;;Kongelig Kapellan;;;;;;;;;x
job_viceroy_norwegian;Viceroy;Viceroy;Viceroy;;Viceroy;;;;;;;;;x
