#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** POLISH **;;;;;;;;;;;;;;
emperor_polish;Cesarz;Cesarz;Cesarz;;Cesarz;;;;;;;;;x
emperor_female_polish;Cesarzowa;Cesarzowa;Cesarzowa;;Cesarzowa;;;;;;;;;x
emperor_title_ruler_consort_polish;Cesarz;Cesarz;Cesarz;;Cesarz;;;;;;;;;x
emperor_title_ruler_consort_female_polish;Cesarzowa;Cesarzowa;Cesarzowa;;Cesarzowa;;;;;;;;;x
emperor_title_queen_mother_female_polish;Cesarzowa-matka;Cesarzowa-matka;Cesarzowa-matka;;Cesarzowa-matka;;;;;;;;;x
city_emperor_polish;Konsul;Wielkiego Królewicz;Wielkiego Królewicz;;Wielkiego Królewicz;;;;;;;;;x
empire_of_polish;Cesarstwo z;Cesarstwo z;Cesarstwo z;;Cesarstwo z;;;;;;;;;x
king_polish;Król;Król;Król;;Król;;;;;;;;;x
king_female_polish;Królowa;Królowa;Królowa;;Królowa;;;;;;;;;x
title_regent_polish;Regentem;Regentem;Regentem;;Regentem;;;;;;;;;x
title_ruler_consort_polish;Ksiaze-malzonek;Ksiaze-malzonek;Ksiaze-malzonek;;Ksiaze-malzonek;;;;;;;;;x
title_ruler_consort_female_polish;Krolowa-malzonka;Krolowa-malzonka;Krolowa-malzonka;;Krolowa-malzonka;;;;;;;;;x
title_queen_mother_polish;Krolowa-matka;Krolowa-matka;Krolowa-matka;;Krolowa-matka;;;;;;;;;x
title_prince_polish;Królewicz;Królewicz;Królewicz;;Królewicz;;;;;;;;;x
title_prince_female_polish;Królewna;Królewna;Królewna;;Królewna;;;;;;;;;x
city_king_polish;Konsul;Wielkiego Nadburmistrz;Wielkiego Nadburmistrz;;Wielkiego Nadburmistrz;;;;;;;;;x
kingdom_of_polish;Królestwo z;Królestwo z;Królestwo z;;Królestwo z;;;;;;;;;x
duke_polish;Ksiaze;Ksiaze;Ksiaze;;Ksiaze;;;;;;;;;x
