#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** SERBIAN **;;;;;;;;;;;;;;
emperor_serbian;Car;Car;Car;;Car;;;;;;;;;x
emperor_female_serbian;Carica;Carica;Carica;;Carica;;;;;;;;;x
emperor_title_ruler_consort_serbian;Car;Car;Car;;Car;;;;;;;;;x
emperor_title_ruler_consort_female_serbian;Carica Saputnic;Carica Saputnic;Carica Saputnic;;Carica Saputnic;;;;;;;;;x
emperor_title_queen_mother_female_serbian;Udovica Carica;Udovica Carica;Udovica Carica;;Udovica Carica;;;;;;;;;x
city_emperor_serbian;Veliki Knez;Veliki Knez;Veliki Knez;;Veliki Knez;;;;;;;;;x
empire_of_serbian;Carstvo od;Carstvo od;Carstvo od;;Carstvo od;;;;;;;;;x
#;;;;;;;;;;;;;;
king_serbian;Kralj;Kralj;Kralj;;Kralj;;;;;;;;;x
king_female_serbian;Kraljica;Kraljica;Kraljica;;Kraljica;;;;;;;;;x
title_regent_serbian;Regent;Regent;Regent;;Regent;;;;;;;;;x
title_ruler_consort_serbian;Knez Saputnica;Knez Saputnica;Knez Saputnica;;Knez Saputnica;;;;;;;;;x
title_ruler_consort_female_serbian;Kraljica Saputnica;Kraljica Saputnica;Kraljica Saputnica;;Kraljica Saputnica;;;;;;;;;x
title_queen_mother_serbian;Kraljica-Majka;Kraljica-Majka;Kraljica-Majka;;Kraljica-Majka;;;;;;;;;x
title_prince_serbian;Knez;Knez;Knez;;Knez;;;;;;;;;x
title_prince_female_serbian;Princeza;Princeza;Princeza;;Princeza;;;;;;;;;x
kingdom_of_serbian;Kraljevina;Kraljevina;Kraljevina;;Kraljevina;;;;;;;;;x
#;;;;;;;;;;;;;;
duke_serbian;Vojvoda;Vojvoda;Vojvoda;;Vojvoda;;;;;;;;;x
duke_female_serbian;Vojvotkinja;Vojvotkinja;Vojvotkinja;;Vojvotkinja;;;;;;;;;x
duke_title_ruler_consort_serbian;Vojvoda;Vojvoda;Vojvoda;;Vojvoda;;;;;;;;;x
duke_title_ruler_consort_female_serbian;Vojvotkinja;Vojvotkinja;Vojvotkinja;;Vojvotkinja;;;;;;;;;x
city_duke_serbian;Dužd;Dužd;Dužd;;Dužd;;;;;;;;;x
duchy_of_serbian;Vojvodstvo od;Vojvodstvo od;Vojvodstvo od;;Vojvodstvo od;;;;;;;;;x
#;;;;;;;;;;;;;;
count_serbian;Racunati;Racunati;Racunati;;Racunati;;;;;;;;;x
count_female_serbian;Grofica;Grofica;Grofica;;Grofica;;;;;;;;;x
county_of_serbian;Kanton od;Kanton od;Kanton od;;Kanton od;;;;;;;;;x
count_title_ruler_consort_serbian;Racunati;Racunati;Racunati;;Racunati;;;;;;;;;x
