#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Event Modifiers;;;;;;;;;;;;;;
approved_by_clan_council;Approved By Clans;;;;;;;;;;;;;x
approved_by_clan_council_desc;The Clans have approved this character's right to rule.;;;;;;;;;;;;;x
not_approved_by_clan_council;Not Approved By Clans;;;;;;;;;;;;;x
not_approved_by_clan_council_duke_desc;The Clans have denied this character's right to rule.;;;;;;;;;;;;;x
#Clans events;;;;;;;;;;;;;;
EVTDESCclancouncil.1;While you have claimed this title, you have yet to have the approval of the Council of the Clans, consisting of all freemen in the realm, to rule… The Council of the Clans is in session.;;;;;;;;;;;;;x
EVTOPTAclancouncil.1;I will make my case!;;;;;;;;;;;;;x
EVTOPTBclancouncil.1;As I am under age, my regent will make my case for me.;;;;;;;;;;;;x
EVTDESCclancouncil.2;The council of the clans is in session to decide my young liege [From.GetBestName]'s fitness to rule.;;;;;;;;;;;;x
EVTOPTAclancouncil.2;As [From.GetHerHis] regent, I shall make [From.GetHerHis] case for [From.GetHerHim].;;;;;;;;;;;;x
EVTDESCclancouncil.3;The majority of the Clan Council has approved your rule!;;;;;;;;;;;;;x
EVTOPTAclancouncil.3;Hurrah!;;;;;;;;;;;;;x
EVTDESCclancouncil.4;The majority of the Clan Council has approved [Root.Liege.GetBestName]'s rule!;;;;;;;;;;;;;x
EVTDESCclancouncil.6;A group of powerful warriors, able to sway the clans' vote, have approached you and requested a small donation in return for their support to your claim…;;;;;;;;;;;;;x
EVTOPTAclancouncil.6;A donation it is.;;;;;;;;;;;;;x
EVTOPTBclancouncil.6;This land is mine by right! I refuse!;;;;;;;;;;;;;x
EVTOPTCclancouncil.6;Patiently explain why they should lend their support.;;;;;;;;;;;;;x
EVTDESCclancouncil.7;A group of powerful warriors, able to sway the clans' vote, have approached you and requested a small donation in return for their support to [Root.Liege.GetBestName]'s claim…;;;;;;;;;;;;;x
EVTOPTBclancouncil.7;This land is [Liege.GetBestName]'s by right! I refuse!;;;;;;;;;;;;;x
EVTDESCclancouncil.8;The majority of the Clan Council has recognised another claimant's right to the throne!;;;;;;;;;;;;;x
EVTOPTAclancouncil.8;I will claim my rule with the sword!;;;;;;;;;;;;;x
EVTDESCclancouncil.9;The majority of the Clan Council has recognised a claimant other than [Liege.GetBestName]!;;;;;;;;;;;;;x
EVTOPTAclancouncil.9;I will defend my lord's right to rule with my sword!;;;;;;;;;;;;;x
EVTOPTAclancouncil.10;My regent will defend my right to rule.;;;;;;;;;;;;;x
EVTDESCclancouncil.11;Your right to rule the lands of your liege [Root.Liege.GetTitle] [Root.Liege.GetBestName] has been recognised by some of the Clans!;;;;;;;;;;;;;x
EVTOPTAclancouncil.11;My time has come! To war!;;;;;;;;;;;;;x
EVTOPTBclancouncil.11;The time is not yet ripe. I shall bide my time yet a little while...;;;;;;;;;;;;;x
EVTDESCclancouncil.12;Finally, the majority of the Clans recognise your rightful claim to rule!;;;;;;;;;;;;;x
EVTOPTAclancouncil.12;Hurrah!;;;;;;;;;;;;;x
