#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCfffamily.0;My family is important to me.;My family is important to me;My family is important for me;;My family is important for me;;;;;;;;;x
EVTOPTAfffamily.0;I should love my family.;I should love my family.;I should love my family;;I should love my family;;;;;;;;;x
opinion_father;My Father;Mon Père;My Father;;My Father;;;;;;;;;x
opinion_mother;My Mother;Ma Mère;My Mother;;My Mother;;;;;;;;;x
opinion_sibling;My Sibling;Fratrie;My Sibling;;My Sibling;;;;;;;;;x
opinion_grandfather;My Grandfather;Mon Grand-Père;My Grandfather;;My Grandfather;;;;;;;;;x
opinion_grandmother;My Grandmother;Ma Grand-Mère;My Grandmother;;My Grandmother;;;;;;;;;x
opinion_child;My Child;Mon Enfant;My Child;;My Child;;;;;;;;;x
opinion_grandchild;My Grandchild;Mon Petit Enfant;My Grandchild;;My Grandchild;;;;;;;;;x
opinion_uncle;My Uncle;Mon Oncle;My Uncle;;My Uncle;;;;;;;;;x
opinion_aunt;My Aunt;Ma Tante;My Aunt;;My Aunt;;;;;;;;;x
opinion_nephew;My Nephew;Mon Neveu;My Nephew;;My Nephew;;;;;;;;;x
opinion_niece;My Niece;Ma Nièce;My Niece;;My Niece;;;;;;;;;x
opinion_cousin;My Cousin;Mon Cousin;My Cousin;;My Cousin;;;;;;;;;x
