#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
phlegmblood;Phlegmatic;Flegmatique;;;;;;;;;;;;x;
phlegmblood_desc;The phlegmatic temperament is typical of people engaged in serious thought.\nThis character also has traces of the Sanguine type which leads to \nthinkers with unusual and far-sighted ideas.;Le tempérament flegmatique est typique des personnes qui restent calmes et imperturbables.\n Ce personnage est aussi un peu Sanguin.;;;;;;;;;;;;x;
phlegmbbile;Phlegmatic;Flegmatique;;;;;;;;;;;;x;
phlegmbbile_desc;The phlegmatic temperament is typical of people engaged in serious thought.\nThis character also has traces of the Melancholic type which leads to \nthinkers who are connected to their feelings and spirituality.;Le tempérament flegmatique est typique des personnes qui restent calmes et imperturbables.\n Ce personnage est aussi un peu Mélancolique.;;;;;;;;;;;;x;
ybileblood;Choleric;Bilieux;;;;;;;;;;;;x;
ybileblood_desc;The choleric temperament is identified with active, enthusiastic and ambitious personalities.\nThis character also has traces of the Sanguine type which leads to \nactive people who enjoy being in charge.;Le tempérament bilieux est typique des personnes actives, qui aiment la compétition. \n Ce personnage est aussi un peu Sanguin.;;;;;;;;;;;;x;
phlegmybile;Phlegmatic;Flegmatique;;;;;;;;;;;;x;
phlegmybile_desc;The phlegmatic temperament is typical of people engaged in serious thought.\nThis character also has traces of the Choleric type which leads to \nthinkers that are grounded in reality and day-to-day affairs.;Le tempérament flegmatique est typique des personnes qui restent calmes et imperturbables.\n Ce personnage est aussi un peu Billieu.;;;;;;;;;;;;x;
bloodybile;Sanguine;Sanguin;;;;;;;;;;;;x;
bloodybile_desc;The sanguine temperament is fundamentally impulsive and pleasure-seeking.\nThis character also has traces of the Choleric type which leads to \nsocial people with child-like innocence.;Le tempérament sanguin est typique des personnes impulsives et à la recherche du plaisir. \n Ce personnage est aussi un peu billieux.;;;;;;;;;;;;x;
bloodbbile;Sanguine;Sanguin;;;;;;;;;;;;x;
bloodbbile_desc;The sanguine temperament is fundamentally impulsive and pleasure-seeking.\nThis character also has traces of the Melancholic type which leads to \nsocial people who rely on their instincts.;Le tempérament sanguin est typique des personnes impulsives et à la recherche du plaisir. \n Ce personnage est aussi un peu Mélancolique.;;;;;;;;;;;;x;
ybilebbile;Choleric;Colérique;;;;;;;;;;;;x;
ybilebbile_desc;The choleric temperament is identified with active, enthusiastic and ambitious personalities.\nThis character also has traces of the Melancholic type which leads to \nactive people who aim for the top.;Le tempérament bilieux est typique des personnes actives, qui aiment la compétition. \n Ce personnage est aussi un peu Mélancolique;;;;;;;;;;;;x;
bbilephlegm;Melancholic;Mélancolique;;;;;;;;;;;;x;
bbilephlegm_desc; The melancholic temperament is fundamentally introverted and cerebral.\nThis character also has traces of the Phlegmatic type which generally leads to \nintroverts who overthink.;Le tempérament mélancolique est typique des personnes introverties et cérébrales. \n Ce personnage est aussi un peu Flegmatique.;;;;;;;;;;;;x;
bloodphlegm;Sanguine;Sanguin;;;;;;;;;;;;x;
