#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC250701;Your liege [Root.Liege.GetTitle] [Root.Liege.GetFirstName] is fighting again another vassal who is trying to gain independence. What should we do?.;Votre suzerain [Root.Liege.GetTitle] [Root.Liege.GetFirstName] combat un autre de ses vassaux qui veut devenir indépendant. Que devons-nous faire? ;;;Tu Señor [Root.Liege.GetTitle] [Root.Liege.GetFirstName] está entretenido combatiendo a un banderizo rebelde. ¿que deberíamos hacer?;;;;;;;;;x
EVTOPTA250701;It's our chance!.;C'est notre chance!;;;Es nuestra oportunidad;;;;;;;;;x
EVTOPTB250701;We should wait and see.;Nous devrions attendre et voir ce qui se passe.;;;Deberíamos esperar;;;;;;;;;x
plot_buy_loyalty_title;Buy [This.GetTitledFirstName]'s loyalty;Acheter la loyauté de [This.GetTitledFirstName];;;;;;;;;;;;x
plot_buy_loyalty_desc;[This.GetTitledFirstName] is on the council of [This.Liege.GetTitledFirstName] and [From.GetTitledFirstName] may try and buy [This.GetHerHis] loyalty. If successful, there will be sabotage missions to be assigned to harm [This.Liege.GetTitledFirstName]'s rule.;[This.GetTitledFirstName] est au conseil de [This.Liege.GetTitledFirstName] et [From.GetTitledFirstName] a décidé d'essayer d'acheter sa fidélité. En cas de succès, il pourra lui assigner des missions via le menu d'interaction personnelle. ;;;;;;;;;;;;x
#opinion_loyalty_bought;Loyalty Bought;Fidélité Achetée;;;;;;;;;;;;x
#opinion_bribe_rejected;Bribe Rejected;A Rejeté Pot de Vin ;;;;;;;;;;;;x
bribed_councillor_action;Sabotage the Council's Activities or Improve Relations with their Liege;;;;;;;;;;;;;x
bribed_councillor_action_desc;Assign an illicit mission to the councillor whose loyalty you have bought;;;;;;;;;;;;;x
#opinion_loyal;Loyal;Loyal;;;;;;;;;;;;x
#opinion_rejected_approach;Rejected approach;A Rejeté Approche;;;;;;;;;;;;x
plot_buy_loyalty_decision;Bribe Person of Influence;[Root.GetObjective];;;;;;;;;;;;x
plot_buy_loyalty_decision_desc;Put the plot into motion by approaching [Root.PlotTarget.GetTitledName] with a loyalty incentive. If successful, you will be able to assign this character missions through the decisions menu.;Faire débuter le complot en approchant [Root.PlotTarget.GetTitledName] avec de quoi gagner sa fidélité. Si vous réussissez vous pourrez lui assigner des missions via le menu d'intéraction personnelle. ;;;;;;;;;;;;x
EVTDESCplot_buy_loyalty.100;As the messenger who would relay my secret letter, I was expecting to meet a priest. Instead my eyes lit on a cavalier, soberly dressed, with his hood pulled over his head. "Fair [From.GetTitledFirstName]", said the stranger, in a voice low, but ringing and penetrating, "I will do as you command. Your letter is safe with me".;[Root.GetTitledFirstName], il semble que nous ayons le même objectif concernant [Root.Liege.GetTitledFirstName]. Je propose que nous travaillions de concert pour parvenir à nos fins.\n\n Cordialement,\n[From.GetFirstName] [From.GetOnlyDynastyName];;;;;;;;;;;;x
EVTOPTAplot_buy_loyalty.100;Deliver this letter to no one but this person only.;Un peu d'or me profiterait;;;;;;;;;;;;x
EVTTOOLTIPplot_buy_loyalty.100;will arrange a meeting to have a very confidential letter delivered;;;;;;;;;;;;;x
EVTDESCplot_buy_loyalty.1;[Root.GetTitledFirstName],  It appears we both have similar concerns against [Root.Liege.GetTitledFirstName] and to that end I propose we establish a relationship where we could both benefit.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName];[Root.GetTitledFirstName], il semble que nous ayons le même objectif concernant [Root.Liege.GetTitledFirstName]. Je propose que nous travaillions de concert pour parvenir à nos fins.\n\n Cordialement,\n[From.GetFirstName] [From.GetOnlyDynastyName];;;;;;;;;;;;x
EVTOPTAplot_buy_loyalty.1;A gift of gold would benefit me;Un peu d'or me profiterait;;;;;;;;;;;;x
EVTOPTBplot_buy_loyalty.1;Interesting... Let me consider the possibilities here;Intéressant, j'attendrais avant de me décider;;;;;;;;;;;;x
EVTOPTCplot_buy_loyalty.1;This is not for me;Ce n'est pas pour moi;;;;;;;;;;;;x
EVTOPTDplot_buy_loyalty.1;This is dishonourable bribery! I will inform my liege;C'est une abjecte tentative de corruption! Je vais prévenir mon seigneur;;;;;;;;;;;;x
EVTDESCplot_buy_loyalty.2;[Root.GetTitledFirstName],  Your proposal is most intriguing. I think some certain gifts would enable us to have a very fruitful relationship.\n\n Regards,\n [From.GetTitledFirstName];[Root.GetTitledFirstName], votre proposition est des plus intriguante. Je pense que quelques cadeaux nous permettraient d'avoir des relations des plus fructueuses.\n\n Cordialement,\n [From.GetTitledFirstName];;;;;;;;;;;;x
EVTOPTAplot_buy_loyalty.2;Give [From.GetHerHim] what he wants;Lui donner ce qu'[From.GetSheHe] veut;;;;;;;;;;;;x
EVTOPTBplot_buy_loyalty.2;[From.GetSheHe] asks too much;[From.GetSheHe] demande trop;;;;;;;;;;;;x
