force_marriage_decision;Forced Marriage;;;;;;;;;;;;;x
indoctrinate_prisoners_decision;Indoctrinate Prisoners;;;;;;;;;;;;;x
EVTDESCprisoners.1;A guard came and lead me to my captor's throne room, where he said that he is considering marrying me.;;;;;;;;;;;;;x
EVTOPTAprisoners.1;It's better than rotting in the dungeon... barely.;;;;;;;;;;;;;x
EVTOPTBprisoners.1;I'd rather marry a toad!;;;;;;;;;;;;;x
EVTDESCprisoners.2;One of the prisoners you are considering marrying has been brought before you. [From.GetSheHeCap] says that [From.GetSheHe] will begrudgingly accept marrying you.;;;;;;;;;;;;;x
EVTOPTAprisoners.2;I am glad you saw reason.;;;;;;;;;;;;;x
EVTOPTBprisoners.2;This is not the one I meant. Take [From.GetHerHim] back.;;;;;;;;;;;;;x
EVTDESCprisoners.3;My captor has returned me to my cell.;;;;;;;;;;;;;x
EVTOPTAprisoners.3;Perhaps I was too hasty?;;;;;;;;;;;;;x
EVTDESCprisoners.4;My captor put me through some sham of a wedding ceremony, and forced me to consumate it.;;;;;;;;;;;;;x
EVTOPTAprisoners.4;Oh, how I wish I were home!;;;;;;;;;;;;;x
EVTDESCprisoners.10;A guard came and lead me to my captor's throne room, where [From.GetSheHe] said that [From.GetSheHe] is considering taking me as [From.GetHerHis] ward.;;;;;;;;;;;;;x
EVTOPTAprisoners.10;Do I have a choice?;;;;;;;;;;;;;x
EVTDESCprisoners.11;One of the imprisoned children that you are considering making your ward has been brought before you. You question [From.GetHerHim] thoroughly.;;;;;;;;;;;;;x
EVTOPTAprisoners.11;Yes, this one will do.;;;;;;;;;;;;;x
EVTOPTBprisoners.11;No, I shall not waste time on this one.;;;;;;;;;;;;;x
EVTDESCprisoners.12;Your captor has decided to personally tutor you. You have been moved to a tower room and are still under guard, but it's better than that dingy cell.;;;;;;;;;;;;;x
EVTOPTAprisoners.12;I wish I could go home.;;;;;;;;;;;;;x
EVTDESCprisoners.13;You have been judged and found not worthy of being your captor's ward. You are lead back to your dungeon cell.;;;;;;;;;;;;;x
EVTOPTAprisoners.13;I miss home.;;;;;;;;;;;;;x
forced_marriage;Forced into marriage;;;;;;;;;;;;;x
