EVTDESCtraditions.121;The great men of the past - like Alexandros, Caesar, Aurelius, Seleukos - all achieved their greatness built upon on back of traditions. But the darkness of the past has rendered these all but legends. It is up to us now to build new legends, shaped by our choices, to build and rebuild on the warrior codes of old.;;;;;;;;;;;;;x
EVTOPTtraditions.121;The path of a warrior is long indeed...;;;;;;;;;;;;;x
EVTDESCtraditions.161;Your traditions have reached a point wherein they are no longer mere traditions but have reached the level of a martial code, complex and concrete.;;;;;;;;;;;;;x
EVTOPTtraditions.161;The arts and traditions of war were not built overnight.;;;;;;;;;;;;;x
EVTDESCtraditions.171;You have reached the pinnacle of martial refinement, and they have long been part of your realm that they longer have the brutish savagery of the primitive past, but have combined elan and sophistication to become a code that will live in legends - a code of chivalry worthy of song.;;;;;;;;;;;;;x
EVTOPTtraditions.171;Glory without honour is as hollow as victory without valour.;;;;;;;;;;;;;x
EVTDESCtraditions.132;There is no straight path in building a tradition - it is built upon choices and circumstances. Will you dare to take up the reins and forge a tradition based on your ideals?;;;;;;;;;;;;;x
EVTOPTtraditions.132A;I am the bone of my sword, the blade of my people.;;;;;;;;;;;;;x
EVTOPTtraditions.132B;I cannot yet commit, and will consider the matter after careful deliberation.;;;;;;;;;;;;;x
EVTDESCtraditions.133;There are four virtues in the art of war: valour, fortitude, determination and adapatability. Valour is the path of burning fire unquenched, Fortitude of imprevious earth immovable, Determination of raging waves unbound, and Adaptability of ubiquitous wind untamed. Upon which virtue shall we build our legends?;;;;;;;;;;;;;x
EVTOPTtraditions.133A;Our enemies shall falter as lambs are wont to went chased by lions.;;;;;;;;;;;;;x
EVTOPTtraditions.133B;We stand as firm as the high mountains of terra itself.;;;;;;;;;;;;;x
EVTOPTtraditions.133C;We shall not want for men as they shall want after we strike.;;;;;;;;;;;;;x
EVTOPTtraditions.133D;We will fight them in their front, their rear, and their flanks.;;;;;;;;;;;;;x
EVTOPTtraditions.133E;I need to think things further...;;;;;;;;;;;;;x
EVTOPTtraditions.145;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.155;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.165;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;xn
EVTOPTtraditions.175;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.146;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.156;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.166;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.176;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.147;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.157;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.167;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.177;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.148;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.158;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.168;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTOPTtraditions.178;Through each drop of sweat and blood experience is earned;;;;;;;;;;;;;x
EVTDESCtraditions.145;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.155;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.165;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.175;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.146;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.156;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.166;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.176;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.147;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.157;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.167;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.177;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.148;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.158;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.168;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.178;Martial traditions are not forged overnight, but from steel and blooded fields, gold and silver-tongues, ash and glowing embers, dust and teary farewells. With the improvement of your martial traditions comes an improvement of the skills of your host.;;;;;;;;;;;;;x
EVTDESCtraditions.221;It is said that gold and silver is the blood of any realm. All the exploits of the realms of antiquity, whether Hellenes or Parthians, Roman or Gauls, were fueled by coffers that could fill countless lakes with gold and coin. These are all but memories now. But we can rebuild, and it is up to us now to once again fill the face of the land with proof of our magnificence.;;;;;;;;;;;;;x
EVTOPTtraditions.221;The risks of the journey are matched by their profits.;;;;;;;;;;;;;x
EVTDESCtraditions.261;Your mercantile traditions have expanded to the point that they no longer mere traditions but have been extensively codified.;;;;;;;;;;;;;x
EVTOPTtraditions.261;The art of trade is not a suit you slip into.;;;;;;;;;;;;;x
EVTDESCtraditions.271;The refinement of your code is such that they are a model not just within the republic but influence realms beyond - truly a code of commerce without borders.;;;;;;;;;;;;;x
EVTOPTtraditions.271;Opportunity is where you make it so.;;;;;;;;;;;;;x
EVTDESCtraditions.232;The essence of any profitable venture lie in in the choices committed and the opportunities they have costed. Will you dare to take the helm and guide the path of the republic?;;;;;;;;;;;;;x
EVTOPTtraditions.232A;People seek leadership by instinct, and I provide.;;;;;;;;;;;;;x
EVTDESCtraditions.233;There are three things that any shrewd merchant would take note of in plying his trade: prudence,;;;;;;;;;;;;;x wisdom, and magnetism. Prudence is the crouch of a tiger, wisdom the silence of an owl, and magnetism the grace of a swan. Which avatar best represents the course our republic should take?;;;;;;;;;;;;;x
EVTOPTtraditions.233A;Prudence and caution. A wary pace pitfalls waive.;;;;;;;;;;;;;x
EVTOPTtraditions.233B; Wisdom and knowledge. The silent stream drowns deep.;;;;;;;;;;;;;x
EVTOPTtraditions.233C;Gregarious magnetism. Beauty inspires, and inspiration drives.;;;;;;;;;;;;;x
EVTOPTtraditions.245;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.255;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.265;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.275;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.246;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.256;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.266;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.276;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.247;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.257;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.267;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTOPTtraditions.277;Every moment an investment, every investment a memory.;;;;;;;;;;;;;x
EVTDESCtraditions.245;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.255;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.265;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.275;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.246;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.256;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.266;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.276;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.247;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.257;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.267;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.277;Mercantile traditions are not bought but wrought. The quill-scratched parchment, the salt-stained wharf, the thrice-bitten coin, the distant-sung haggling - each memory a link in the chain of progression for the republic and its people.;;;;;;;;;;;;;x
EVTDESCtraditions.321;The darkness of ignorance and discord has gripped the Realms of Man. But Man perserveres, and the Divines have mercy. To push back this dark age, we shall walk a long path to truth and faith.;;;;;;;;;;;;;x
EVTOPTtraditions.321;Profess the faith and spread the light.;;;;;;;;;;;;;x
EVTDESCtraditions.361;The divines provide. Our unshatterable faith and its traditions have now reached a complexity and consistency to the point of being Canon.;;;;;;;;;;;;;x
EVTOPTtraditions.361;The gods have mercy.;;;;;;;;;;;;;x
EVTDESCtraditions.371;The embrace of the light is as eternal as the light is invincible.;;;;;;;;;;;;;x
EVTOPTtraditions.371;Lux Invicta.;;;;;;;;;;;;;x
EVTDESCtraditions.332;The paths of faith are as varied as the faces of man. Whatever direction we face, will you be willing to take responsibility for the flock?;;;;;;;;;;;;;x
EVTOPTtraditions.332A;The divines have chosen their messenger.;;;;;;;;;;;;;x
EVTDESCtraditions.333;The gifts of the gods are split into three: Zeal, their fury. Fervour, their love. Inspiration, their whisper.;;;;;;;;;;;;;x
EVTOPTtraditions.333A;Worshippers of false gods will know of ours.;;;;;;;;;;;;;x
EVTOPTtraditions.333B;Worshippers of our gods support us.;;;;;;;;;;;;;x
EVTOPTtraditions.333C;Light shall reveal truth;;;;;;;;;;;;;x
EVTOPTtraditions.345;The gods inspire;;;;;;;;;;;;;x
EVTOPTtraditions.355;The gods inspire;;;;;;;;;;;;;x
EVTOPTtraditions.365;The gods inspire;;;;;;;;;;;;;x
EVTOPTtraditions.375;The gods inspire;;;;;;;;;;;;;x
EVTOPTtraditions.346;The gods inspire;;;;;;;;;;;;;x
EVTOPTtraditions.356;The gods inspire;;;;;;;;;;;;;x
EVTOPTtraditions.366;The gods inspire;;;;;;;;;;;;;x
