tradprovflags.1350;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1350.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1350.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1351;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1351.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1351.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1450;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1450.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1450.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1451;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1451.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1451.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1550;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1550.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1550.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1551;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1551.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1551.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1650;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1650.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1650.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1651;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1651.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1651.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1750;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1750.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1750.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1751;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1751.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1751.a;Valour forwards volunteers faster!;;;;;;;;;;;;;x
tradprovflags.1360;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1360.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1360.a;Fortitude rallies the defence!;;;;;;;;;;;;;x
tradprovflags.1361;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1361.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1361.a;Fortitude rallies the defence!;;;;;;;;;;;;;x
tradprovflags.1460;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1460.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1460.a;Fortitude rallies the defence!;;;;;;;;;;;;;x
tradprovflags.1461;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1461.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1461.a;Fortitude rallies the defence!;;;;;;;;;;;;;x
tradprovflags.1560;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1560.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1560.a;Fortitude rallies the defence!;;;;;;;;;;;;;x
tradprovflags.1561;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1561.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1561.a;Fortitude rallies the defence!;;;;;;;;;;;;;x
tradprovflags.1660;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1660.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1660.a;Fortitude rallies the defence!;;;;;;;;;;;;;x
tradprovflags.1661;Growth of Traditions;;;;;;;;;;;;;x
tradprovflags.1661.desc;The traditions of the land depend on both the will of its lord and the strength of the people to support. With the growth of the province's traditions, so too strengthens the benefits the people of the land reap from its presence. At the same manner, the loss of a lord's patronage can cause traditions to wither and disappear.;;;;;;;;;;;;;x
tradprovflags.1661.a;Fortitude rallies the defence!;;;;;;;;;;;;;x
tradprovflags.1760;Growth of Traditions;;;;;;;;;;;;;x
