#CODE;ENGLISH;;;;;;;;;;;;;x
EVTDESClux_nm_court.1;[Root.Religion] Godi must be women.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.1;Find a suitable candidate.;;;;;;;;;;;;;x
EVTDESClux_nm_court.2;It is sad that [Root.Liege.GetTitledFirstName] does not have a [Root.Liege.GetMarshalName], when I would do a fine job.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.2;I shall petition my liege!;;;;;;;;;;;;;x
EVTTOOLTIPlux_nm_court.3;[Root.Liege] gets an event.;;;;;;;;;;;;;x
EVTDESClux_nm_court.3;[From.GetBestName] is applying for the vacant position of [Root.GetMarshalName].;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.3;The position is already filled.;;;;;;;;;;;;;x
EVTOPTBlux_nm_court.3;[From.GetBestName] would make a splendid [Root.GetMarshalName].;;;;;;;;;;;;;x
EVTOPTClux_nm_court.3;I can find someone better.;;;;;;;;;;;;;x
EVTDESClux_nm_court.4;Someone took the position.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.4;Curses!;;;;;;;;;;;;;x
EVTDESClux_nm_court.5;It is sad that [Root.Liege.GetTitledFirstName] does not have a [Root.Liege.GetChancellorName], when I would do a fine job.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.5;I shall petition my liege!;;;;;;;;;;;;;x
EVTTOOLTIPlux_nm_court.6;[Root.Liege] gets an event.;;;;;;;;;;;;;x
EVTDESClux_nm_court.6;[From.GetBestName] is applying for the vacant position of [Root.GetChancellorName].;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.6;The position is already filled.;;;;;;;;;;;;;x
EVTOPTBlux_nm_court.6;[From.GetBestName] would make a splendid [Root.GetChancellorName].;;;;;;;;;;;;;x
EVTOPTClux_nm_court.6;I can find someone better.;;;;;;;;;;;;;x
EVTDESClux_nm_court.7;Someone took the position.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.7;Curses!;;;;;;;;;;;;;x
EVTDESClux_nm_court.8;It is sad that [Root.Liege.GetTitledFirstName] does not have a [Root.Liege.GetTreasurerName], when I would do a fine job.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.8;I shall petition my liege!;;;;;;;;;;;;;x
EVTTOOLTIPlux_nm_court.9;[Root.Liege] gets an event.;;;;;;;;;;;;;x
EVTDESClux_nm_court.9;[From.GetBestName] is applying for the vacant position of [Root.GetTreasurerName].;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.9;The position is already filled.;;;;;;;;;;;;;x
EVTOPTBlux_nm_court.9;[From.GetBestName] would make a splendid [Root.GetTreasurerName].;;;;;;;;;;;;;x
EVTOPTClux_nm_court.9;I can find someone better.;;;;;;;;;;;;;x
EVTDESClux_nm_court.10;Someone took the position.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.10;Curses!;;;;;;;;;;;;;x
EVTDESClux_nm_court.11;It is sad that [Root.Liege.GetTitledFirstName] does not have a [Root.Liege.GetSpymasterName], when I would do a fine job.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.11;I shall petition my liege!;;;;;;;;;;;;;x
EVTTOOLTIPlux_nm_court.12;[Root.Liege] gets an event.;;;;;;;;;;;;;x
EVTDESClux_nm_court.12;[From.GetBestName] is applying for the vacant position of [Root.GetSpymasterName].;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.12;The position is already filled.;;;;;;;;;;;;;x
EVTOPTBlux_nm_court.12;[From.GetBestName] would make a splendid [Root.GetSpymasterName].;;;;;;;;;;;;;x
EVTOPTClux_nm_court.12;I can find someone better.;;;;;;;;;;;;;x
EVTDESClux_nm_court.13;Someone took the position.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.13;Curses!;;;;;;;;;;;;;x
EVTDESClux_nm_court.14;It is sad that [Root.Liege.GetTitledFirstName] does not have a [Root.Liege.GetLordSpiritualName], when I would do a fine job.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.14;I shall petition my liege!;;;;;;;;;;;;;x
EVTTOOLTIPlux_nm_court.15;[Root.Liege] gets an event.;;;;;;;;;;;;;x
EVTDESClux_nm_court.15;[From.GetBestName] is applying for the vacant position of [Root.GetLordSpiritualName].;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.15;The position is already filled.;;;;;;;;;;;;;x
EVTOPTBlux_nm_court.15;[From.GetBestName] would make a splendid [Root.GetLordSpiritualName].;;;;;;;;;;;;;x
EVTOPTClux_nm_court.15;I can find someone better.;;;;;;;;;;;;;x
EVTDESClux_nm_court.16;Someone took the position.;;;;;;;;;;;;;x
EVTOPTAlux_nm_court.16;Curses!;;;;;;;;;;;;;x
