EVTDESCmb301;While it is true that [From.GetFirstName] is not my husband's child, there can be no doubt that [From.GetSheHe] is mine. I am determined that [From.GetSheHe] will carry on my dynasty even if [Root.Spouse.GetTitledFirstName] will not acknowledge [From.GetHerHim]. After all, by our marriage contract all children are of my dynasty.;;;;;;;;;;;;;x
EVTOPTAmb301;Try to convince [Root.Spouse.GetTitledFirstName] that he is the father.;;;;;;;;;;;;;x
EVTOPTBmb301;I don't care about his opinion.;;;;;;;;;;;;;x
EVTDESCmb302;While it is true that [From.GetFirstName] is not my husband's child, there can be no doubt that [From.GetSheHe] is mine. If [Root.Spouse.GetTitledFirstName] can not be persuaded to legitimize [From.GetHerHim], then [From.GetSheHe] will carry on my dynasty.;;;;;;;;;;;;;x
EVTDESCmb305;My wife [FromFrom.GetTitledFirstName] came to me with this entreaty. "My dear [Root.GetFirstName], while I understand that you suspect that [From.GetTitledFirstName] is not your child, but I assure you that [From.GetSheHe] is. I would be most appreciative if you would put aside your suspicions and acknowledge [From.GetHerHim] as your own, for the good of the realm.;;;;;;;;;;;;;x
EVTOPTAmb305;For the good of the realm, I shall treat [From.GetHerHim] as my own.;;;;;;;;;;;;;x
EVTOPTBmb305;Under no circumstances will I acknowledge that bastard as my child.;;;;;;;;;;;;;x
EVTDESCmb306;My wife [FromFrom.GetTitledFirstName] is openly declaring that [From.GetTitledFirstName] is not my child, and will be of her dynasty, regardless of my wishes, declaring it is her right based on our marriage contract.;;;;;;;;;;;;;x
EVTOPTAmb306;That arrogant bitch!;;;;;;;;;;;;;x
EVTDESCmb308;My wife is asking me to either acknowledge her bastard as my own child, or she will publicly humiliate me by publicly declaring the child a bastard, legitimating it as one of her heirs, and giving it her family name!;;;;;;;;;;;;;x
EVTOPTAmb308;For... for the good of the realm, dear.;;;;;;;;;;;;;x
EVTOPTBmb308;That bitch!;;;;;;;;;;;;;x
EVTTOOLTIPmb309A;Your husband [From.GetTitledFirstName] is irritated with you.;;;;;;;;;;;;;x
EVTTOOLTIPmb309;[FromFrom.GetTitledFirstName] is pleased.;;;;;;;;;;;;;x
EVTTOOLTIPmb310;[FromFrom.GetTitledFirstName] is displeased.;;;;;;;;;;;;;x
EVTDESCmb309;My wife [FromFrom.GetTitledFirstName] came to me with this entreaty. "My dear [Root.GetFirstName], while I understand that you suspect that [From.GetTitledFirstName] is not your child, but I assure you that [From.GetSheHe] is. I would be most appreciative if you would put aside your suspicions and acknowledge [From.GetHerHim] as your own, for the good of the realm.;;;;;;;;;;;;;x
EVTOPTAmb309;For the good of the realm, I shall treat [From.GetHerHim] as my own.;;;;;;;;;;;;;x
EVTOPTBmb309;Under no circumstances will I acknowledge that bastard as my child.;;;;;;;;;;;;;x
EVTDESCmb310;My husband [From.GetFirstName] is refusing to acknowledge my child [FromFrom.GetTitledFirstName] as his own.;;;;;;;;;;;;;x
EVTOPTAmb310;More fool he.;;;;;;;;;;;;;x
EVTDESCmb311;My lover [From.GetFirstName] is openly acknowledging her child [FromFromFrom.GetTitledFirstName] as mine... and the child is taking her dynasty.;;;;;;;;;;;;;x
EVTOPTAmb312;Good... I guess?;;;;;;;;;;;;;x
EVTDESCmb312;My wife [FromFrom.GetTitledFirstName] is openly declaring that [From.GetTitledFirstName] is not my child, and will be of her dynasty, regardless of my wishes, declaring it is her right based on her superior rank.;;;;;;;;;;;;;x
EVTOPTAmb312;That arrogant bitch!;;;;;;;;;;;;;x
furious;Furious;;;;;;;;;;;;;x
irritated;Irritated;;;;;;;;;;;;;x
