ordepchains.1000.desc;Today you set out for a day outside, to visit the area surrounding your castle, evaluate the overall situation of your peasants and enjoy some of the pleasures your domain has to offer. All seemed well for a while as you visited peasants working the fields and heard from the hunting master how much game that he believed inhabits your woods this year, but something has gone wrong... neither you nor your escort recognizes where you are.;;;;;;;;;;;x
ordepchains.1000.a;Oh boy, well, we can't stop here.;;;;;;;;;;;x
ordepchains.1000.tooltip;You continue forward;;;;;;;;;;;x
ordepchains.1001.title;A Day At The Ruins;;;;;;;;;;;x
ordepchains.1001.desc;As you and your escort pass through a patch of thick vegetation, hoping to somehow reach the main road, you chance upon a most unexpected sight. Before you lies a set of old ruins, long forgotten by the inhabitants of the region, as well as time itself. As you walk closer to the ruins, one of your escorts suggests these buildings must have been constructed by the ancient Romans who once lived in this area, but you shake your head and inform him that he is wrong, as you can see what little remains of the constructions is crude and unlike any Roman building would look like. This was once a village belonging to one of the Gallic tribes who once called this land their home. Your other escort informs you that he sees a dark cave in the distance, and also reminds you that time is short and you must find your way to the road. What do you want to do?;;;;;;;;;;;x
ordepchains.1001.a;A cave? I smell adventure!;;;;;;;;;;;x
ordepchains.1001.a.tooltip;explores the ancient cave;;;;;;;;;;;x
ordepchains.1001.b;How unique, I'm sure my wife will love to visit;;;;;;;;;;;x
ordepchains.1001.c;How romantic! A perfect place to invite that beautiful courtier to.;;;;;;;;;;;x
ordepchains.1001.d;Ha, the Gauls, I remember them from my studies...;;;;;;;;;;;x
ordepchains.1001.d.tooltip;You reflect on the history of the ruins;;;;;;;;;;;x
ordepchains.1001.e;Meh, let us go look for that road.;;;;;;;;;;;x
ordepchains.1002.desc;As you approach the cave, your men grow restless at how pitch black it is, and urge you to leave it be. Who knows what might be in there?;;;;;;;;;;;x
ordepchains.1002.a;Weaklings! Are you afraid of the dark?;;;;;;;;;;;x
ordepchains.1002.b;You know, some things are best forgotten.;;;;;;;;;;;x
ordepchains.1003.desc;As you and your men head down the cave, you quickly understand there is not a lot of reason to be excited as what you might discover inside. Apparently this must not have been more than a simple hideout for the farmers or even their cattle against the harsher weather and there is nothing of note for you here. Some of the carvings on the walls seem interesting, but as as far as you know, a child found its way here and drew them.;;;;;;;;;;;x
ordepchains.1003.a;Bah! What a waste of time!;;;;;;;;;;;x
ordepchains.1004.title;Ruin Archeology;;;;;;;;;;;x
ordepchains.1004.desc;As you and your men go deeper into the cave, you are quickly surrounded by a thick darkness, despite your torches. Two things become clear, the cave is deep and almost certainly served a purpose other than a simple shepherds hideout from the rain, and that it hasn't been visited in a very long time. The cave seems deep and you wish to explore and find how deep it goes, but eventually you are forced to give up before you get in too deep and lost. As you make your way out, a faint glitter on the floor catches your attention, and you dig up a silver coin with a strange image of an horse. Blessing your good fortune, you consider whether you should sell it to a rich merchant for a large sum, or keep it as a family heirloom.;;;;;;;;;;;x
ordepchains.1004.a;The money will come in handy!;;;;;;;;;;;x
ordepchains.1004.b;Everyone will be jealous!;;;;;;;;;;;x
ordepchains.1005.desc;As you and your men head down the cave, you are quickly surrounded by a thick darkness, despite your torches. Two things become clear, the cave is deep and almost certainly served a purpose other than a simple shepherds hideout from the rain, and that it hasn't been visited in a very long time. The cave seems deep and you wish to see how deep it goes, but while going through a passage you fail to notice a loose rock and slip, taking a fall and landing on a pile of rocks, hurting yourself and having to be dragged out by your escort. An inglorious end to your quest.;;;;;;;;;;;x
ordepchains.1005.a;Darn!;;;;;;;;;;;x
ordepchains.1006.desc;As you and your men enter the cave, you are immediately assaulted by a strong smell. The cave is extremely dark even with your torch, but you try to look at the walls and the floor to try to determine if anything of worth might be present. Suddenly your blood freezes as something roars behind you, and an angry bear approaches you and your escorts. Apparently you walked into a bear's den! Your men nervously draw their swords, and you must quickly make a decision: fight or flight?;;;;;;;;;;;x
ordepchains.1006.a;You will make a fine mantle!;;;;;;;;;;;x
you_fight_the_bear;You fight the bear!;;;;;;;;;;;x
ordepchains.1006.b;Runaway!;;;;;;;;;;;x
ordepchains.1007.title;You Fight The Bear;;;;;;;;;;;x
ordepchains.1007.desc;As you and your men engage the bear in a fight, the beast charges you and attempts to rip your face apart, but you quickly evade its claws by dodging to the side. As your men try to slash at the bear from the side, they quickly find that the bear's thick hide and fur make their sword's blades almost useless. When the bear turns to the side and claws one of them across the chest, knocking him out of the fight, you use this distraction to stab your sword through the bear's neck, severing the artery and causing him to bleed to death. While you are bruised and must painfully claw your way back to the surface, victory is yours today!;;;;;;;;;;;x
ordepchains.1007.a;Remind me not to go into dark places anymore;;;;;;;;;;;x
ordepchains.1007.tooltip;you defeat the bear;;;;;;;;;;;x
ordepchains.1008.title;You Fight The Bear;;;;;;;;;;;x
