#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
help_liege;Join the War;Rejoindre la guerre;GERMAN;;SPANISH;;;;;;;;;x
help_liege_desc;Join your liege's war;Aider votre Suzerain dans sa guerre;GERMAN;;SPANISH;;;;;;;;;x
help_liege_defend;Defend your Liege;Défendre votre Suzerain;GERMAN;;SPANISH;;;;;;;;;x
help_liege_defend_desc;Give all your levies to your liege;Envoyer toutes vos troupes à votre Suzerain;GERMAN;;SPANISH;;;;;;;;;x
pledge;Pledge;Engagement;GERMAN;;SPANISH;;;;;;;;;x
pledge_building;Pledge;Point de rassemblement;GERMAN;;SPANISH;;;;;;;;;x
stop_liege_defend;Withdraw Pledge;Stopper l'aide;GERMAN;;SPANISH;;;;;;;;;x
stop_liege_defend_desc;Withdraw your troops;Ramener vos troupes;GERMAN;;SPANISH;;;;;;;;;x
PLG102;My liege, we will fight along side you!;Mon Seigneur, nous nous battrons à vos côtés !;GERMAN;;SPANISH;;;;;;;;;x
PLG104;My Liege, all of my troops are ready for your command. We will defend your name!;Mon Seigneur, toute mon armée est prête à agir sous vos ordres. Nous défendrons votre nom !;GERMAN;;SPANISH;;;;;;;;;x
PLGT100;You will join your liege's wars.;Vous allez rejoindre votre Suzerain dans sa guerre.;GERMAN;;SPANISH;;;;;;;;;x
PLGT104;You will support your liege by supplying troops.;Vous allez aider votre Suzerain en lui envoyant des troupes.;GERMAN;;SPANISH;;;;;;;;;x
