sk_cs_mobileswarm;Mobile Swarm;;;;;;;;;;;;;;
sk_cs_rotatingswarm;Rotating Swarm;;;;;;;;;;;;;;
sk_cs_horsemanharass;Horseman Harass;;;;;;;;;;;;;;
sk_cs_cavalryhitandrun;Cavalry Hit and Run;;;;;;;;;;;;;;
sk_cs_cavalryraiding;Cavalry Raiding;;;;;;;;;;;;;;
sk_cs_swarmandharass;Swarm And Harass;;;;;;;;;;;;;;
sk_as_lightvolley;Light Volley;;;;;;;;;;;;;;
sk_as_heavyvolley;Heavy Volley;;;;;;;;;;;;;;
sk_as_indiscriminatebarrage;Indiscriminate Barrage;;;;;;;;;;;;;;
sk_as_arcedarrowassault;Arced Arrow Assault Barrage;;;;;;;;;;;;;;
sk_as_ambushvolley;Ambush Volley;;;;;;;;;;;;;;
sk_is_averagelightbaitvanguard;Average Light Bait Vanguard;;;;;;;;;;;;;;
sk_is_skilledlightbaitvanguard;Skilled Light Bait Vanguard;;;;;;;;;;;;;;
sk_is_heavyadvancevanguard;Heavy Advance Vanguard;;;;;;;;;;;;;;
sk_is_averagelightfootfeint;Average Light Foot Feint;;;;;;;;;;;;;;
sk_is_skilledlightfootfeint;Skilled Light Foot Feint;;;;;;;;;;;;;;
sk_is_heavyfootfeint;Heavy Foot Feint;;;;;;;;;;;;;;
sk_sf_weakshieldlink;Weak Shield Link;;;;;;;;;;;;;;
sk_sf_shieldchain;Shield Chain;;;;;;;;;;;;;;
sk_sf_shieldwall;Shield Wall;;;;;;;;;;;;;;
sk_sf_strongshieldwall;Strong Shield Wall;;;;;;;;;;;;;;
sk_sf_spikewall;Spike Wall;;;;;;;;;;;;;;
sk_ma_obviousfeint;Obvious Feint;;;;;;;;;;;;;;
sk_ma_skillfulfeint;Skillful Feint;;;;;;;;;;;;;;
sk_ma_misdirection;Misdirection;;;;;;;;;;;;;;
sk_ma_obfuscation;Obfuscation;;;;;;;;;;;;;;
sk_am_desertambush;Desert Ambush;;;;;;;;;;;;;;
sk_am_crushingdesertambush;Crushing Desert Ambush;;;;;;;;;;;;;;
sk_am_hillsideambush;Hill-side Ambush;;;;;;;;;;;;;;
sk_am_crushinghillsideambush;Crushing Hill-side Ambush;;;;;;;;;;;;;;
sk_am_mountainambush;Mountain Ambush;;;;;;;;;;;;;;
sk_am_crushingmountainambush;Crushing Mountain Ambush;;;;;;;;;;;;;;
sk_am_forestambush;Forest Ambush;;;;;;;;;;;;;;
sk_am_crushingforestambush;Crushing Forest Ambush;;;;;;;;;;;;;;
sk_am_jungleambush;Jungle Ambush;;;;;;;;;;;;;;
sk_am_crushingjungleambush;Crushing Jungle Ambush;;;;;;;;;;;;;;
sk_am_lureandbait;Lure And Bait;;;;;;;;;;;;;;
sk_am_hitandrun;Hit And Run;;;;;;;;;;;;;;
sk_am_skillfulhitandrun;Skillful Hit And Run;;;;;;;;;;;;;;
sk_am_Surprise Assault;Surprise Assault;;;;;;;;;;;;;;
sk_sc_bungledadvance;Bungled Advance;;;;;;;;;;;;;;
sk_sc_generaladvance;General Advance;;;;;;;;;;;;;;
sk_sc_methodicaladvance;Methodical Advance;;;;;;;;;;;;;;
sk_sc_bungledadvance;Intricate Complex Advance;;;;;;;;;;;;;;
sk_ca_supportedcavalrycharge;Supported Cavalry Charge;;;;;;;;;;;;;;
sk_ca_coordinatedtedcavalrycharge;Coordinated Cavalry Charge;;;;;;;;;;;;;;
sk_ca_unsupportedcavalrycharge;Unsupported Cavalry Charge;;;;;;;;;;;;;;
sk_ca_cavalrychargeonskirmishers;Cavalry Charge On Skirmishers;;;;;;;;;;;;;;
sk_ca_collateralcasualtycavalrycharge;Collateral-Casualty Cavalry Charge;;;;;;;;;;;;;;
sk_ca_coordinatedvolleyadvance;Coordinated-Volley Advance;;;;;;;;;;;;;;
sk_ca_synchronisedvolleyadvance;Synchronised-Volley Advance;;;;;;;;;;;;;;
sk_ca_uncoordinatedvolleyadvance;Uncoordinated-Volley Advance;;;;;;;;;;;;;;
sk_ca_infantryrapidadvance;Infantry Rapid Advance;;;;;;;;;;;;;;
sk_ca_fervouredfrontaladvance;Fervoured Frontal Advance;;;;;;;;;;;;;;
sk_ca_chaoticfrontalcharge;Chaotic Frontal Charge;;;;;;;;;;;;;;
