cosmo_realm_0;One Faith;;;;;;;;;;;;;x
cosmo_realm_0_desc;The faith of the liege is the only one allowed in this realm. All infedel and heretical practices are actively rooted out.;;;;;;;;;;;;;x
cosmo_realm_2;Many Faiths;;;;;;;;;;;;;x
cosmo_realm_2_desc;This realm does not discriminate against different faiths and all religions are allowed under its borders, without any form of proselityzing being allowed by the government. ;;;;;;;;;;;;;x
tolerant_ruler;Tolerant Ruler;;;;;;;;;;;;;x
tolerant_ruler_desc;This ruler has approved crown laws granting freedom of cult under their realm. The tolerant regime allows them to treat fairly better with some of their subjects, but alienate them the sympathies of the more zealous members of their own claimed religion.;;;;;;;;;;;;;x
doubted_faith;Doubted Faith;;;;;;;;;;;;;x
opinion_only_true_faith;Defender of True Faith;;;;;;;;;;;;;x
opinion_fanatic_oppressor;Fanatic Oppressor;;;;;;;;;;;;;x
opinion_crazy_tolerant;Blasphemous;;;;;;;;;;;;;x
opinion_wise_tolerant;Considerate Rule;;;;;;;;;;;;;x
opinion_blasphemous_ruler;Blasphemous;;;;;;;;;;;;;x
opinion_blasphemous_apostate;Blasphemous;;;;;;;;;;;;;x
EVTDESCrelf0001;In your realm people of different faiths are allowed to freely follow their customs and rites, without fear of persecution.;;;;;;;;;;;;;x
EVTDESCrelf0002;There was a time when your realm allowed foreign cults in its border, but that time is passed.;;;;;;;;;;;;;x
EVTDESCrelf0003;In the last days you've developed a new fervour for your religious beliefs, is it really just to freely allow heathen teachings inside your realm?;;;;;;;;;;;;;x
EVTDESCrelf0004;Almighty Pope, one of your Emperors allows heathens in their realm. What should we do?;;;;;;;;;;;;;x
EVTDESCrelf0005;Your tolerant rule has not gone unseen. [From.GetTitledName] has issued a seal condemning your doubtful stand on the supremacy of the One True Church and casted you out, forbidding you to take part in the Holy Communion.;;;;;;;;;;;;;x
EVTDESCrelf0006;A papal envoy brought a very angry letter from St. Peter's seat today, making several compelling arguments against the fancy notion of allowing infedels to practice freely within your borders. Luckily, there doesn't seem to be much substance nor threats involved in the missing.;;;;;;;;;;;;;x
EVTDESCrelf0007;Almighty Pope, the apostate sent money instead. Should we still allow his heathenry ways?;;;;;;;;;;;;;x
EVTDESCrelf0008;Your donation seems to have been enought to buy salvation from your ill-made edict to yourself and your subjects, at least for the moment. The papal envoy still made some vague threats, but your excommunication has been lifted, for the time being.;;;;;;;;;;;;;x
