#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCtrial_by_combat.1;[Root.GetTitledFirstName], I have been unjustly imprisoned by [FromFrom.Host.GetBestName] and, seeing as I'm unlikely to recieve fair judgement from [FromFrom.Host.GetHerHim], have demanded a trial by combat to prove my innocence. As your [GetFromFromRelation], I implore you to be my champion in my trial, to defend my honour!\n\n Signed,\n[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName];Votre [GetFromFromRelation] [FromFrom.GetBestName] vous a demandé d'être son champion dans le duel judiciaire qui l'oppose à [FromFrom.Host.GetBestName];;;;;;;;;;;;x
EVTOPTAtrial_by_combat.1;I will fight for [FromFrom.GetHerHim];Mon épée est sienne;;;;;;;;;;;;x
EVTOPTBtrial_by_combat.1;I don't think so;Je ne crois pas non;;;;;;;;;;;;x
EVTTOOLTIPtrial_by_combat.2;will be pleased you agree and inform their captor;va être heureux que vous acceptiez et va en informer ceux qui le retiennent;;;;;;;;;;;;x
EVTTOOLTIPtrial_by_combat.3;will be disappointed to here this;va être déçu de votre refus;;;;;;;;;;;;x
EVTDESCtrial_by_combat.2;[Root.PrimaryTitle.GetFOA], I [From.GetFirstName] [From.GetOnlyDynastyName], will honour my allegiance to you and stand for you in your trial by combat against [Root.Host.GetBestName];Moi, [From.GetFirstName] [From.GetOnlyDynastyName], vais honorer mon allégeance envers vous et vous représenterai dans votre duel judiciaire contre [Root.Host.GetBestName];;;;;;;;;;;;x
EVTOPTAtrial_by_combat.2;Good, now [Root.Host.GetTitledFirstName] will pick their champion;Bien, maintenant [Root.Host.GetTitledFirstName] va choisir son champion ;;;;;;;;;;;;x
EVTDESCtrial_by_combat.3;[Root.GetTitle] [Root.GetFirstName], I am afraid I cannot stand for you in your trial by combat, to do so would present too great a risk to my person.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName];[Root.GetFirstName] [Root.GetOnlyDynastyName], je crains de ne pouvoir vous représenter dans votre duel judiciaire.\n\n Cordialement,\n[From.GetFirstName] [From.GetOnlyDynastyName];;;;;;;;;;;;x
EVTOPTAtrial_by_combat.3;Where is [From.GetHerHis] honour?;Où est donc passé son honneur ?;;;;;;;;;;;;x
EVTDESCtrial_by_combat.4;The guards drag [From.GetFirstName] [From.GetOnlyDynastyName] up from [From.GetHerHis] cell and throw [From.GetHerHim] at your feet. 'I've come for justice,' [From.GetSheHe] says, 'By right of birth and blood, I demand trial by combat.';Les gardes extirpent [From.GetFirstName] [From.GetOnlyDynastyName] de sa cellule pour l’amener devant vous. ‘Je réclame justice,’ dit-[From.GetSheHe], ‘Par droit de naissance et de sang, j’exige un duel judiciaire.’ ;;;Tu prisionero [From.GetFullName] ha solicitado un juicio por combate;;;;;;;;;x
EVTOPTAtrial_by_combat.4;You have that right. I will select someone to stand for [From.GetHerHis] [Root.GetTitle];Tel est votre droit. Je vais choisir quelqu’un qui se battra pour [FromFrom.GetHerHim] [Root.GetTitle].;;;Buscaremos un campeón;;;;;;;;;x
EVTOPTBtrial_by_combat.4;I accept. I won't let my sons risk their lives, but perhaps one of the rest of you is willing to fight?;J’accepte. Je ne laisserai pas mes fils risquer leurs vies, mais peut-être que l’un d’entre vous désire-t-il se battre ? ;;;Buscaremos un campeón. No dejaré que un hijo mio combata;;;;;;;;;x
EVTOPTCtrial_by_combat.4;I have to accept. We'll have to draw straws.;Je n’ai pas d’autre choix que d’accepter. Tirons à la courte paille. ;;;No hay ningún candidato a campeón. El carcelero valdrá;;;;;;;;;x
EVTOPTDtrial_by_combat.4;I'll handle this myself.;Je vais m'en charger moi-même.;;;No, yo mismo me encargaré de ello;;;;;;;;;x
EVTOPTEtrial_by_combat.4;No. I can't afford to lose [From.GetHerHim]. Return the prisoner to the cells!;Je ne peux pas me permettre de le(a) perdre. Ramenez le prisonnier à sa cellule !;;;No me puedo permitir perderle;;;;;;;;;x
